establishment,1,1,512
european,1,1,513
even,1,1,514
evening,1,1,515
exile,1,1,516
expanding,1,1,517
explain,1,1,518
explosive,1,1,519
expose,1,1,520
expressed,3,2,521
extradite,1,1,523
extradition,3,3,524
extraterritorial,1,1,527
faced,1,1,528
falkland,1,1,529
familiar,1,1,530
family,1,1,531
far,1,1,532
favor,1,1,533
feet,1,1,534
felt,1,1,535
fence,1,1,536
fernandez,1,1,537
fernando,2,2,538
few,1,1,540
fidel,2,2,541
figure,1,1,543
filed,4,2,544
filing,1,1,546
finished,1,1,547
first,3,2,548
five,1,1,550
flag,1,1,551
flimsy,1,1,552
follow,2,2,553
followed,1,1,555
following,1,1,556
force,2,2,557
foreign,7,4,559
forget,1,1,563
formal,1,1,564
formalize,1,1,565
former,10,5,566
forward,1,1,571
frei,5,3,572
frequently,2,2,575
friday,4,3,577
front,2,2,580
fruit,1,1,582
galtieri,1,1,583
garce,1,1,584
garcia,3,3,585
garzon,18,3,588
gathered,1,1,591
gen,5,4,592
general,5,2,596
generally,1,1,598
geneva,1,1,599
genocidal,1,1,600
genocide,3,2,601
gently,1,1,603
get,1,1,604
getting,1,1,605
ghastly,1,1,606
given,3,2,607
giving,1,1,609
glady,1,1,610
good,1,1,611
governing,2,2,612
government,18,6,614
granted,1,1,620
grave,1,1,621
great,1,1,622
group,3,2,623
grow,1,1,625
hampered,1,1,626
handed,2,1,627
handling,2,2,628
happened,2,2,630
happy,1,1,632
harbor,1,1,633
having,1,1,634
he,44,6,635
head,1,1,641
headline,12,6,642
health,1,1,648
hearing,3,2,649
heated,1,1,651
held,5,3,652
help,1,1,655
henriquez,1,1,656
here,6,3,657
herniated,2,2,660
hi,27,5,662
high,4,2,667
him,12,4,669
hiriart,1,1,673
hold,1,1,674
home,1,1,675
hospital,3,3,676
hotel,1,1,679
hour,1,1,680
however,1,1,681
human,13,4,682
humanity,2,2,686
hundred,3,3,688
iberian,1,1,691
ibero,4,3,692
if,1,1,695
immediate,1,1,696
immediately,1,1,697
immunity,8,3,698
implicated,2,2,701
importance,1,1,703
important,1,1,704
impunity,1,1,705
incarnate,1,1,706
incident,1,1,707
include,1,1,708
included,1,1,709
including,4,2,710
independent,2,2,712
indication,1,1,714
influential,1,1,715
informed,1,1,716
insisting,1,1,717
instead,1,1,718
insure,1,1,719
intelligence,1,1,720
international,8,4,721
interpol,1,1,725
interrogate,1,1,726
interview,2,2,727
into,9,4,729
investigating,4,3,733
investigation,5,2,736
investigator,1,1,738
investment,1,1,739
involved,3,3,740
involvement,3,3,743
involving,2,1,746
island,1,1,747
issue,1,1,748
issued,4,3,749
it,23,6,752
jeremy,1,1,758
johnson,5,3,759
joked,1,1,762
jose,1,1,763
juan,2,2,764
judge,16,5,766
judicial,3,3,771
junta,1,1,774
jurisdiction,1,1,775
just,3,3,776
justice,2,2,779
kicking,1,1,781
kidnapped,2,1,782
killing,4,1,783
king,1,1,784
know,1,1,785
known,2,1,786
kodak,13,4,787
labor,1,1,791
lacked,1,1,792
lago,3,1,793
large,1,1,794
last,1,1,795
latin,2,2,796
law,4,3,798
lawmaker,1,1,801
lawyer,2,2,802
lead,1,1,804
leader,3,2,805
leading,2,1,807
learning,1,1,808
least,1,1,809
left,2,2,810
leftist,4,3,812
legal,5,3,815
legally,1,1,818
leopoldo,1,1,819
life,6,5,820
light,1,1,825
lightly,1,1,826
limit,1,1,827
line,1,1,828
linking,1,1,829
live,1,1,830
living,1,1,831
local,1,1,832
london,15,5,833
long,1,1,838
look,2,1,839
lost,1,1,840
madrid,5,1,841
magistrate,5,3,842
maintained,1,1,845
major,1,1,846
majority,1,1,847
make,3,3,848
malvina,1,1,851
manuel,2,2,852
many,1,1,854
march,3,3,855
marche,1,1,858
maria,1,1,859
mariano,1,1,860
marin,1,1,861
mario,2,2,862
martinez,2,2,864
material,2,2,866
matter,2,2,868
matute,2,2,870
maverick,1,1,872
me,1,1,873
meant,1,1,874
meddling,2,1,875
media,2,2,876
medical,1,1,878
meeting,1,1,879
member,2,2,880
memory,1,1,882
military,12,5,883
minister,5,3,888
ministry,1,1,891
mireya,1,1,892
missing,1,1,893
mobilize,1,1,894
moderation,1,1,895
monday,1,1,896
month,3,3,897
more,6,2,900
most,7,3,902
move,2,2,905
moved,1,1,907
mr,2,2,908
much,1,1,910
murder,5,3,911
murdered,2,2,914
murderer,2,2,916
murdering,1,1,918
must,3,3,919
myriad,1,1,922
name,1,1,923
national,2,1,924
nationality,1,1,925
nearby,1,1,926
neighboring,1,1,927
neutrality,1,1,928
new,7,2,929
newspaper,1,1,931
next,3,3,932
night,3,2,935
no,5,3,937
normalcy,1,1,940
notorious,1,1,941
now,4,3,942
number,1,1,945
obediently,1,1,946
obligation,1,1,947
obvious,1,1,948
occurred,2,2,949
oct,3,3,951
offense,1,1,954
office,2,2,955
officer,5,2,957
official,3,2,959
often,1,1,961
old,1,1,962
on,25,6,963
once,1,1,969
one,9,5,970
only,7,3,975
opened,3,2,978
operation,4,3,980
oporto,1,1,983
opponent,3,2,984
opposing,1,1,986
optional,2,2,987
or,1,1,989
order,1,1,990
other,4,2,991
ought,1,1,993
ousted,2,2,994
out,1,1,996
outcome,1,1,997
outside,1,1,998
over,8,6,999
overlooked,1,1,1005
overshadow,1,1,1006
overthrow,1,1,1007
pacemaker,1,1,1008
packed,1,1,1009
page,1,1,1010
pain,1,1,1011
pari,1,1,1012
park,1,1,1013
parliament,1,1,1014
part,2,1,1015
particularly,1,1,1016
party,5,2,1017
passport,4,4,1019
people,4,3,1023
perhap,1,1,1026
period,1,1,1027
person,1,1,1028
petition,2,2,1029
pinochet,68,6,1031
place,2,2,1037
placed,3,2,1039
play,1,1,1041
pledged,1,1,1042
point,1,1,1043
polarized,1,1,1044
police,16,6,1045
politic,2,1,1051
political,8,3,1052
politician,2,1,1055
popular,1,1,1056
porto,2,2,1057
portrayed,1,1,1059
portugal,4,4,1060
position,1,1,1064
possible,1,1,1065
post,2,2,1066
poster,1,1,1068
power,5,3,1069
precedent,1,1,1072
predictably,1,1,1073
president,9,5,1074
presidential,1,1,1079
press,3,2,1080
prevent,1,1,1082
previously,3,3,1083
prime,2,2,1086
probe,6,2,1088
probing,1,1,1090
problem,1,1,1091
proceeding,1,1,1092
processe,1,1,1093
professorial,1,1,1094
profile,1,1,1095
prominent,1,1,1096
promised,1,1,1097
promotion,1,1,1098
prosecution,1,1,1099
protest,5,2,1100
protested,1,1,1102
protester,1,1,1103
protesting,1,1,1104
provide,1,1,1105
provided,1,1,1106
providing,1,1,1107
punishment,1,1,1108
pursue,1,1,1109
pushed,1,1,1110
put,1,1,1111
quest,1,1,1112
question,4,2,1113
radical,1,1,1115
ranging,1,1,1116
rather,1,1,1117
rb,1,1,1118
reacting,1,1,1119
reaction,2,2,1120
read,1,1,1122
real,1,1,1123
reason,1,1,1124
received,2,2,1125
recent,2,2,1127
recognize,4,3,1129
record,1,1,1132
recovering,1,1,1133
reference,1,1,1134
refused,3,2,1135
regime,9,3,1137
regular,1,1,1140
related,1,1,1141
relation,2,2,1142
release,3,3,1144
released,1,1,1147
remain,1,1,1148
remained,3,3,1149
remaining,1,1,1152
remarkable,1,1,1153
repeatedly,1,1,1154
report,1,1,1155
reported,1,1,1156
reportedly,2,2,1157
reporter,1,1,1159
repression,2,1,1160
request,6,3,1161
require,1,1,1164
reservation,1,1,1165
residence,2,1,1166
respect,2,2,1167
responded,1,1,1169
responding,1,1,1170
response,1,1,1171
responsible,1,1,1172
retired,2,1,1173
retirement,1,1,1174
return,1,1,1175
revealing,1,1,1176
ricardo,1,1,1177
richard,1,1,1178
ridiculed,1,1,1179
right,14,4,1180
rightist,2,1,1184
risk,1,1,1185
role,1,1,1186
rome,1,1,1187
ruiz,1,1,1188
rule,5,3,1189
ruler,1,1,1192
run,1,1,1193
ruthless,1,1,1194
rwanda,1,1,1195
said,32,6,1196
salvador,3,3,1202
same,3,2,1205
santiago,6,4,1207
saturday,3,3,1211
say,2,2,1214
saying,1,1,1216
scholar,1,1,1217
scl,2,2,1218
scolded,1,1,1220
scorn,1,1,1221
scotland,3,3,1222
screaming,1,1,1225
secret,2,1,1226
secretary,3,2,1227
security,4,3,1229
see,1,1,1232
seek,2,2,1233
seem,1,1,1235
seemed,1,1,1236
seized,2,2,1237
self,1,1,1239
sen,1,1,1240
senator,8,5,1241
senior,1,1,1246
sensational,1,1,1247
sensitive,1,1,1248
sept,2,2,1249
serious,2,2,1251
serving,1,1,1253
sery,1,1,1254
set,3,3,1255
seven,1,1,1258
several,2,1,1259
she,1,1,1260
shout,1,1,1261
show,1,1,1262
showed,2,1,1263
shown,1,1,1264
side,2,1,1265
sign,1,1,1266
signatory,1,1,1267
similar,2,2,1268
since,3,2,1270
situation,3,3,1272
sky,1,1,1275
small,1,1,1276
so,2,2,1277
socialist,3,1,1279
society,1,1,1280
some,4,2,1281
son,2,2,1283
soon,2,1,1285
south,2,1,1286
spain,5,2,1287
spaniard,4,3,1289
spanish,27,5,1292
speaking,1,1,1297
special,1,1,1298
specifically,2,1,1299
spectacular,1,1,1300
spent,1,1,1301
spinal,1,1,1302
splendidly,1,1,1303
spokesman,1,1,1304
spokeswoman,3,1,1305
spring,1,1,1306
staff,1,1,1307
state,5,3,1308
statement,2,1,1311
step,1,1,1312
still,2,1,1313
stir,1,1,1314
stop,1,1,1315
story,2,2,1316
strategy,1,1,1318
street,1,1,1319
strike,1,1,1320
string,1,1,1321
strong,1,1,1322
strongman,1,1,1323
stubbornly,1,1,1324
subject,1,1,1325
succeeded,1,1,1326
suddenly,1,1,1327
summit,8,4,1328
sunday,4,2,1332
sunny,1,1,1334
support,3,3,1335
supporter,3,1,1338
supporting,1,1,1339
surgery,5,2,1340
surprise,1,1,1342
sworn,2,2,1343
tagle,1,1,1345
take,3,3,1346
taken,3,2,1349
taking,1,1,1351
talking,2,2,1352
television,5,2,1354
tense,1,1,1356
term,1,1,1357
terrorism,4,2,1358
test,1,1,1360
text,12,6,1361
than,5,2,1367
that,42,6,1369
their,5,2,1375
them,2,1,1377
then,3,1,1378
there,2,1,1379
they,6,4,1380
thi,7,3,1384
those,2,1,1387
thought,2,1,1388
threat,1,1,1389
three,1,1,1390
through,4,3,1391
throwing,1,1,1394
tight,2,2,1395
time,2,2,1397
to,66,6,1399
told,4,4,1405
tony,1,1,1409
too,1,1,1410
took,2,2,1411
torture,5,3,1413
tortured,1,1,1416
torturing,1,1,1417
traffic,1,1,1418
trafficking,1,1,1419
transmitted,1,1,1420
travel,2,2,1421
traveled,1,1,1423
traveling,1,1,1424
treating,1,1,1425
treatment,1,1,1426
trend,1,1,1427
